id,company_id,position_title,salary_range,salary_min,salary_max,tech_keywords,headcount,source_url,source_name,crawled_at
135,1,Java高级工程师,15K-35K,15000,35000,"{Java,Spring}",1,,search_inferred,2026-08-04 11:15:44.246868
136,1,Java架构师,15K-35K,15000,35000,"{Java,Spring}",1,,search_inferred,2026-08-04 11:15:44.246868
137,1,Python开发工程师,15K-35K,15000,35000,"{Python,Django}",1,,search_inferred,2026-08-04 11:15:44.246868
138,1,数据分析工程师,15K-35K,15000,35000,"{Python,Django}",1,,search_inferred,2026-08-04 11:15:44.246868
139,1,前端开发工程师,12K-30K,12000,30000,"{Vue,React}",1,,search_inferred,2026-08-04 11:15:44.246868
140,1,Vue开发工程师,12K-30K,12000,30000,"{Vue,React}",1,,search_inferred,2026-08-04 11:15:44.246868
141,1,测试工程师,10K-25K,10000,25000,{测试},1,,search_inferred,2026-08-04 11:15:44.246868
142,1,自动化测试工程师,10K-25K,10000,25000,{测试},1,,search_inferred,2026-08-04 11:15:44.246868
143,2,测试工程师,10K-25K,10000,25000,{测试},1,,search_inferred,2026-08-04 11:15:44.246868
144,2,自动化测试工程师,10K-25K,10000,25000,{测试},1,,search_inferred,2026-08-04 11:15:44.246868
145,3,Java高级工程师,15K-35K,15000,35000,"{Java,Spring}",1,,search_inferred,2026-08-04 11:15:44.246868
146,3,Java架构师,15K-35K,15000,35000,"{Java,Spring}",1,,search_inferred,2026-08-04 11:15:44.246868
147,3,Python开发工程师,15K-35K,15000,35000,"{Python,Django}",1,,search_inferred,2026-08-04 11:15:44.246868
148,3,数据分析工程师,15K-35K,15000,35000,"{Python,Django}",1,,search_inferred,2026-08-04 11:15:44.246868
149,3,大数据工程师,18K-40K,18000,40000,"{大数据,Spark}",1,,search_inferred,2026-08-04 11:15:44.246868
150,3,数据开发工程师,18K-40K,18000,40000,"{大数据,Spark}",1,,search_inferred,2026-08-04 11:15:44.246868
151,3,前端开发工程师,12K-30K,12000,30000,"{Vue,React}",1,,search_inferred,2026-08-04 11:15:44.246868
152,3,Vue开发工程师,12K-30K,12000,30000,"{Vue,React}",1,,search_inferred,2026-08-04 11:15:44.246868
153,3,测试工程师,10K-25K,10000,25000,{测试},1,,search_inferred,2026-08-04 11:15:44.246868
154,3,自动化测试工程师,10K-25K,10000,25000,{测试},1,,search_inferred,2026-08-04 11:15:44.246868
155,4,AI算法工程师,20K-50K,20000,50000,"{AI,机器学习,Python}",1,,search_inferred,2026-08-04 11:15:44.246868
156,4,机器学习工程师,20K-50K,20000,50000,"{AI,机器学习,Python}",1,,search_inferred,2026-08-04 11:15:44.246868
157,4,Java高级工程师,15K-35K,15000,35000,"{Java,Spring}",1,,search_inferred,2026-08-04 11:15:44.246868
158,4,Java架构师,15K-35K,15000,35000,"{Java,Spring}",1,,search_inferred,2026-08-04 11:15:44.246868
159,4,Python开发工程师,15K-35K,15000,35000,"{Python,Django}",1,,search_inferred,2026-08-04 11:15:44.246868
160,4,数据分析工程师,15K-35K,15000,35000,"{Python,Django}",1,,search_inferred,2026-08-04 11:15:44.246868
161,4,前端开发工程师,12K-30K,12000,30000,"{Vue,React}",1,,search_inferred,2026-08-04 11:15:44.246868
162,4,Vue开发工程师,12K-30K,12000,30000,"{Vue,React}",1,,search_inferred,2026-08-04 11:15:44.246868
163,4,测试工程师,10K-25K,10000,25000,{测试},1,,search_inferred,2026-08-04 11:15:44.246868
164,4,自动化测试工程师,10K-25K,10000,25000,{测试},1,,search_inferred,2026-08-04 11:15:44.246868
165,5,前端开发工程师,12K-30K,12000,30000,"{Vue,React}",1,,search_inferred,2026-08-04 11:15:44.246868
166,5,Vue开发工程师,12K-30K,12000,30000,"{Vue,React}",1,,search_inferred,2026-08-04 11:15:44.246868
167,5,测试工程师,10K-25K,10000,25000,{测试},1,,search_inferred,2026-08-04 11:15:44.246868
168,5,自动化测试工程师,10K-25K,10000,25000,{测试},1,,search_inferred,2026-08-04 11:15:44.246868
169,6,Java高级工程师,15K-35K,15000,35000,"{Java,Spring}",1,,search_inferred,2026-08-04 11:15:44.246868
170,6,Java架构师,15K-35K,15000,35000,"{Java,Spring}",1,,search_inferred,2026-08-04 11:15:44.246868
171,6,Python开发工程师,15K-35K,15000,35000,"{Python,Django}",1,,search_inferred,2026-08-04 11:15:44.246868
172,6,数据分析工程师,15K-35K,15000,35000,"{Python,Django}",1,,search_inferred,2026-08-04 11:15:44.246868
173,6,大数据工程师,18K-40K,18000,40000,"{大数据,Spark}",1,,search_inferred,2026-08-04 11:15:44.246868
174,6,数据开发工程师,18K-40K,18000,40000,"{大数据,Spark}",1,,search_inferred,2026-08-04 11:15:44.246868
175,6,前端开发工程师,12K-30K,12000,30000,"{Vue,React}",1,,search_inferred,2026-08-04 11:15:44.246868
176,6,Vue开发工程师,12K-30K,12000,30000,"{Vue,React}",1,,search_inferred,2026-08-04 11:15:44.246868
177,6,测试工程师,10K-25K,10000,25000,{测试},1,,search_inferred,2026-08-04 11:15:44.246868
178,6,自动化测试工程师,10K-25K,10000,25000,{测试},1,,search_inferred,2026-08-04 11:15:44.246868
179,7,AI算法工程师,20K-50K,20000,50000,"{AI,机器学习,Python}",1,,search_inferred,2026-08-04 11:15:44.246868
180,7,机器学习工程师,20K-50K,20000,50000,"{AI,机器学习,Python}",1,,search_inferred,2026-08-04 11:15:44.246868
181,7,Java高级工程师,15K-35K,15000,35000,"{Java,Spring}",1,,search_inferred,2026-08-04 11:15:44.246868
182,7,Java架构师,15K-35K,15000,35000,"{Java,Spring}",1,,search_inferred,2026-08-04 11:15:44.246868
183,7,Python开发工程师,15K-35K,15000,35000,"{Python,Django}",1,,search_inferred,2026-08-04 11:15:44.246868
184,7,数据分析工程师,15K-35K,15000,35000,"{Python,Django}",1,,search_inferred,2026-08-04 11:15:44.246868
185,7,大数据工程师,18K-40K,18000,40000,"{大数据,Spark}",1,,search_inferred,2026-08-04 11:15:44.246868
186,7,数据开发工程师,18K-40K,18000,40000,"{大数据,Spark}",1,,search_inferred,2026-08-04 11:15:44.246868
187,7,前端开发工程师,12K-30K,12000,30000,"{Vue,React}",1,,search_inferred,2026-08-04 11:15:44.246868
188,7,Vue开发工程师,12K-30K,12000,30000,"{Vue,React}",1,,search_inferred,2026-08-04 11:15:44.246868
189,7,测试工程师,10K-25K,10000,25000,{测试},1,,search_inferred,2026-08-04 11:15:44.246868
190,7,自动化测试工程师,10K-25K,10000,25000,{测试},1,,search_inferred,2026-08-04 11:15:44.246868
