id,company_id,title,content_summary,source_url,source_name,published_at,sentiment_score,relevance_score,is_digital_related,crawled_at
252,11,武汉光谷信息技术股份有限公司(公司) - 百度百科,,,websearch,2026-08-04 00:00:00,0.00,0.50,f,2026-08-04 11:10:38.209136
253,11,武汉光谷信息技术股份有限公司_光谷-信息查询-官方资质&amp;背景数据...,,,websearch,2026-08-04 00:00:00,0.00,0.50,f,2026-08-04 11:10:38.209136
254,11,光谷概况,,,websearch,2026-08-04 00:00:00,0.00,0.00,f,2026-08-04 11:10:38.209136
255,11,光谷信息[430161]A股实时行情 - 百度股市通,,,websearch,2026-08-04 00:00:00,0.00,0.00,f,2026-08-04 11:10:38.209136
256,11,武汉蓝星信息技术股份有限公司 - 百度百科,,,websearch,2026-08-04 00:00:00,0.00,0.00,f,2026-08-04 11:10:38.209136
257,11,武汉光谷信息技术股份有限公司-企业信息,,,websearch,2026-08-04 00:00:00,0.00,0.50,f,2026-08-04 11:10:38.209136
258,11,光谷信息招聘 - 智联招聘,,,websearch,2026-08-04 00:00:00,0.00,0.00,f,2026-08-04 11:10:38.209136
259,12,奇安信人才基地,,,websearch,2026-08-04 00:00:00,0.00,0.00,f,2026-08-04 11:10:38.209136
260,12,奇安信公司 - 百度地图,,,websearch,2026-08-04 00:00:00,0.00,0.00,f,2026-08-04 11:10:38.209136
261,12,奇安信集团-新一代网络安全领军者,,,websearch,2026-08-04 00:00:00,0.00,0.00,f,2026-08-04 11:10:38.209136
262,12,奇安信校园招聘,,,websearch,2026-08-04 00:00:00,0.00,0.00,f,2026-08-04 11:10:38.209136
263,12,奇安信安全技术（武汉）有限公司 - 百度百科,,,websearch,2026-08-04 00:00:00,0.00,0.00,f,2026-08-04 11:10:38.209136
264,12,公司機構—奇安信,,,websearch,2026-08-04 00:00:00,0.00,0.00,f,2026-08-04 11:10:38.209136
265,13,长飞(公司) - 百度百科,,,websearch,2026-08-04 00:00:00,0.00,0.00,f,2026-08-04 11:10:38.209136
266,13,长飞光纤[601869]A股实时行情 - 百度股市通,,,websearch,2026-08-04 00:00:00,0.00,0.00,f,2026-08-04 11:10:38.209136
267,13,武汉 光缆光纤公司采购询价-光缆光纤公司厂家报价,,,websearch,2026-08-04 00:00:00,0.00,0.00,f,2026-08-04 11:10:38.209136
